index_date,petr4_observed,petr4_fitted,petr4_predicted,std_error,ci_95_lower,ci_95_upper
2018-05-01,19.7791385578777,20.089160968860522,,,,
2018-06-01,17.3042855468096,20.044969077035997,,,,
2018-07-01,20.3520040489053,17.996545890432547,,,,
2018-08-01,20.3636499298139,20.84636180919948,,,,
2018-09-01,21.7615615330244,21.274782169559625,,,,
2018-10-01,26.0572346211275,19.967126275939382,,,,
2018-11-01,24.5563796509372,27.04335083892642,,,,
2018-12-01,22.4549122201495,24.174461530765885,,,,
2019-01-01,25.1207172558374,24.31402726324269,,,,
2019-02-01,27.8394894363778,26.45632011487443,,,,
2019-03-01,28.0384905829117,26.639347775285117,,,,
2019-04-01,26.8163655160136,29.612429613488327,,,,
2019-05-01,26.1182314986692,27.289284497212403,,,,
2019-06-01,27.098287977162,26.987974979769174,,,,
2019-07-01,26.5690436580138,25.622034114303958,,,,
2019-08-01,26.5032139676268,24.883436536680072,,,,
2019-09-01,28.32295629341,25.625839011677037,,,,
2019-10-01,29.0977429072119,27.36835924464308,,,,
2019-11-01,28.0381141028956,28.998232699970185,,,,
2019-12-01,29.7463701251885,28.324670991647285,,,,
2020-01-01,27.8515775373924,28.642373279059484,,,,
2020-02-01,26.5024888814347,26.97845038200105,,,,
2020-03-01,14.3333698428562,25.851638853959123,,,,
2020-04-01,18.3088063720382,15.675691825526322,,,,
2020-05-01,20.5911800741579,21.794006400121095,,,,
2020-06-01,20.7114897278928,21.84975660354782,,,,
2020-07-01,22.5458364771227,21.480274225181102,,,,
2020-08-01,22.7036151332492,23.594414099097712,,,,
2020-09-01,20.3634831889096,21.69573050407256,,,,
2020-10-01,18.0014123199423,19.99284647843216,,,,
2020-11-01,23.6403580516913,18.9376411833232,,,,
2020-12-01,27.6090264459124,24.111292585358704,,,,
2021-01-01,26.1414718244967,24.69019211475025,,,,
2021-02-01,23.8469408992417,22.430340060010423,,,,
2021-03-01,24.7772213527951,25.403527037584084,,,,
2021-04-01,24.213578095231,24.764722363109367,,,,
2021-05-01,26.8465572947455,25.479994308909095,,,,
2021-06-01,28.2740272760751,27.479230670297813,,,,
2021-07-01,27.0332800714895,28.50745971788958,,,,
2021-08-01,27.7292976297784,26.653142276253494,,,,
2021-09-01,28.0308883285428,28.37447776744609,,,,
2021-10-01,26.4729189118918,25.83256140728953,,,,
2021-11-01,28.0846517744683,27.539313084135827,,,,
2021-12-01,27.6193706425391,28.891495229358085,,,,
2022-01-01,,,28.891495229358085,2.071768764019445,24.830903067584913,32.95208739113126
2022-02-01,,,29.39719658677198,2.8239892288509694,25.336604424998804,33.457788748545155
2022-03-01,,,30.556228959231067,3.2528819591911953,25.021311777954125,36.09114614050801
2022-04-01,,,32.911283786772195,3.636447130562434,26.535752300797363,39.28681527274703
2022-05-01,,,32.461908127778955,4.0025329587709555,25.33460272019256,39.589213535365346
2022-06-01,,,32.78930748389581,4.337826695807531,24.944487037770198,40.63412793002143
2022-07-01,,,31.13706248983491,4.646456259700801,22.635078394875762,39.63904658479406
2022-08-01,,,31.716428338300556,4.935739851998134,22.609541413546296,40.823315263054816
2022-09-01,,,32.56219334267099,5.209323612269176,22.888320995695587,42.23606568964639
2022-10-01,,,33.27847001250008,5.469262590135655,23.0683833486384,43.48855667636176
2022-11-01,,,36.72869991371783,5.717349385343273,26.009142215059697,47.44825761237597
2022-12-01,,,34.51149144108214,5.955105097624226,23.30569255877711,45.717290323387175
